"breed","group","score","longevity","ailments","purchase_price","grooming","children","size","weight","height","repetition"
"Bluetick Coonhound","hound",NA,NA,0,370,NA,NA,"large",28,61,NA
"Boykin Spaniel","sporting",NA,NA,NA,531,NA,NA,"medium",NA,41,NA
"Canaan Dog","herding",NA,14.67,0,NA,2,1,"medium",20,55,NA
"Cane Corso","working",NA,NA,NA,1070,NA,NA,"large",NA,64,NA
"Cardigan Welsh Corgi","herding",NA,12.7,0,828,NA,NA,"small",14,29,"5-15"
"Cesky Terrier","terrier",NA,8.42,NA,NA,2,1,"small",9,29,NA
"Chinese Crested","toy",NA,10.08,NA,538,NA,NA,"small",NA,30,"40-80"
"Chinese Shar Pei","non-sporting",NA,NA,4,840,NA,NA,"medium",24,48,"25-40"
"Collie","herding",NA,NA,2,650,NA,NA,"large",28,61,"5-15"
"Curly Coated Retriever","sporting",NA,10.75,0,NA,2,2,"large",NA,64,"25-40"
"English Foxhound","hound",NA,NA,0,NA,NA,NA,"large",NA,61,"25-40"
"Entlebucher Mountain Dog","herding",NA,NA,NA,1167,NA,NA,"medium",NA,47,NA
"Field Spaniel","sporting",NA,9.9,0,NA,1,2,"medium",NA,44,"15-25"
"Finnish Lapphund","herding",NA,7.33,NA,NA,1,1,"medium",NA,47,NA
"Finnish Spitz","non-sporting",NA,11.17,0,NA,2,1,"medium",NA,45,"25-40"
"German Pinscher","working",NA,11.42,NA,1500,NA,NA,"medium",NA,47,NA
"German Wirehaired Pointer","sporting",NA,10,1,655,NA,NA,"large",NA,61,"25-40"
"Glen of Imaal Terrier","terrier",NA,10.42,NA,NA,NA,NA,"small",16,34,NA
"Great Pyrenees","working",NA,10,1,503,NA,NA,"large",NA,72,"40-80"
"Greater Swiss Mountain Dog","working",NA,6.8,1,1605,NA,NA,"large",NA,66,NA
"Harrier","hound",NA,NA,0,NA,NA,NA,"medium",NA,51,NA
"Havanese","toy",NA,10.25,0,830,NA,NA,"small",NA,25,NA
"Ibizan Hound","hound",NA,NA,0,1500,2,1,"large",NA,64,"25-40"
"Icelandic Sheepdog","herding",NA,NA,NA,NA,NA,NA,"medium",NA,44,NA
"Irish Red and White Setter","sporting",NA,11.57,NA,1000,NA,NA,"large",NA,62,NA
"Irish Terrier","terrier",NA,NA,0,588,2,1,"medium",12,46,"25-40"
"Irish Water Spaniel","sporting",NA,9.33,1,NA,2,1,"medium",25,57,"5-15"
"Japanese Chin","toy",NA,9.25,0,513,NA,NA,"small",NA,24,"40-80"
"Keeshond","non-sporting",NA,12.17,1,610,NA,NA,"medium",NA,44,"5-15"
"Komondor","working",NA,9.17,1,656,NA,NA,"large",45,70,NA
"Kuvasz","working",NA,NA,1,NA,NA,NA,"large",42,71,"25-40"
"Lakeland Terrier","terrier",NA,NA,0,1093,2,1,"small",8,37,"40-80"
"Leonberger","working",NA,6.98,NA,1480,2,1,"large",NA,72,NA
"Löwchen","non-sporting",NA,10,0,NA,NA,NA,"small",NA,33,NA
"Manchester Terrier","terrier",NA,9.32,0,720,NA,NA,"small",8,NA,"15-25"
"Miniature Bull Terrier","terrier",NA,6.6,0,1740,NA,NA,"small",NA,30,NA
"Miniature Pinscher","toy",NA,NA,0,535,NA,NA,"small",NA,29,"15-25"
"Neapolitan Mastiff","working",NA,NA,1,1760,2,1,"large",59,70,NA
"Norwegian Buhund","herding",NA,12.67,NA,NA,NA,NA,"medium",15,44,NA
"Norwegian Elkhound","hound",NA,NA,1,448,NA,NA,"medium",23,51,"15-25"
"Norwegian Lundehund","non-sporting",NA,NA,NA,NA,NA,NA,"small",NA,34,NA
"Norwich Terrier","terrier",NA,NA,0,1245,2,2,"small",5,25,"15-25"
"Nova Scotia Duck Tolling Retriever","sporting",NA,6.5,1,1500,2,1,"medium",NA,48,NA
"Otterhound","hound",NA,10.8,1,NA,2,1,"large",44,65,"25-40"
"Parson Russell Terrier","terrier",NA,NA,0,528,2,2,"small",7,34,NA
